Date,Open-p,High-p,Low-p,Close-p,Adj Close-p,Volume-p,Open-z,High-z,Low-z,Close-z,Adj Close-z,Volume-z
4/30/2020,72.489998,73.6325,72.087502,73.449997,72.885025,183064000,2419.840088,2475,2396.01001,2474,2474,9534600
5/1/2020,71.5625,74.75,71.462502,72.267502,71.711632,240616800,2336.800049,2362.439941,2258.189941,2286.040039,2286.040039,9772600
5/4/2020,72.292503,73.422501,71.580002,73.290001,72.726265,133568000,2256.379883,2326.97998,2256.379883,2315.98999,2315.98999,4865900
5/5/2020,73.764999,75.25,73.614998,74.389999,73.817802,147751200,2340,2351,2307.129883,2317.800049,2317.800049,3242500
5/6/2020,75.114998,75.809998,74.717499,75.157501,74.579391,142333600,2329.439941,2357.449951,2320,2351.26001,2351.26001,3117800
5/7/2020,75.805,76.292503,75.4925,75.934998,75.350914,115215200,2374.780029,2376,2343.110107,2367.610107,2367.610107,3396400
5/8/2020,76.410004,77.587502,76.072502,77.532501,77.144394,134048000,2372.139893,2387.23999,2357,2379.610107,2379.610107,3211200
5/11/2020,77.025002,79.262497,76.809998,78.752502,78.358284,145946400,2374.699951,2419.669922,2372.110107,2409,2409,3259200
5/12/2020,79.457497,79.922501,77.727501,77.852501,77.462791,162301200,2411.850098,2419,2355,2356.949951,2356.949951,3074900
5/13/2020,78.037498,78.987503,75.802498,76.912498,76.527496,200622400,2366.800049,2407.699951,2337.800049,2367.919922,2367.919922,4782900
5/14/2020,76.127502,77.447502,75.3825,77.385002,76.997635,158929200,2361.01001,2391.370117,2353.209961,2388.850098,2388.850098,3648100
5/15/2020,75.087502,76.974998,75.052498,76.927498,76.542412,166348400,2368.52002,2411,2356.370117,2409.780029,2409.780029,4235000
5/18/2020,78.292503,79.125,77.580002,78.739998,78.345848,135372400,2404.350098,2433,2384.01001,2426.26001,2426.26001,4366600
5/19/2020,78.7575,79.629997,78.252502,78.285004,77.893127,101729600,2429.830078,2485,2428.969971,2449.330078,2449.330078,4320500
5/20/2020,79.169998,79.879997,79.129997,79.807503,79.408005,111504800,2477.870117,2500.01001,2467.27002,2497.939941,2497.939941,3998100
5/21/2020,79.665001,80.222504,78.967499,79.212502,78.815979,102688800,2500,2525.449951,2442.540039,2446.73999,2446.73999,5114400
5/22/2020,78.942497,79.807503,78.837502,79.722504,79.323433,81803200,2455.01001,2469.850098,2430.129883,2436.879883,2436.879883,2867100
5/26/2020,80.875,81.059998,79.125,79.182503,78.786133,125522000,2458,2462,2414.060059,2421.860107,2421.860107,3568200
5/27/2020,79.035004,79.677498,78.272499,79.527496,79.129402,112945200,2404.98999,2413.580078,2330,2410.389893,2410.389893,5056900
5/28/2020,79.192497,80.860001,78.907501,79.5625,79.16423,133560800,2384.330078,2436.969971,2378.22998,2401.100098,2401.100098,3190200
5/29/2020,79.8125,80.287498,79.1175,79.485001,79.08712,153598000,2415.939941,2442.370117,2398.199951,2442.370117,2442.370117,3529300
6/1/2020,79.4375,80.587502,79.302498,80.462502,80.059723,80791200,2448,2476.929932,2444.169922,2471.040039,2471.040039,2928900
6/2/2020,80.1875,80.860001,79.732498,80.834999,80.430351,87642800,2467,2473.530029,2445.310059,2472.409912,2472.409912,2529900
6/3/2020,81.165001,81.550003,80.574997,81.279999,80.873131,104491200,2468.01001,2488,2461.169922,2478.399902,2478.399902,2671000
6/4/2020,81.097504,81.404999,80.195,80.580002,80.176636,87560400,2477.429932,2507.540039,2450.01001,2460.600098,2460.600098,2948700
6/5/2020,80.837502,82.9375,80.807503,82.875,82.460152,137250400,2444.51001,2488.649902,2437.129883,2483,2483,3306400
6/8/2020,82.5625,83.400002,81.830002,83.364998,82.947685,95654400,2500.199951,2530,2487.340088,2524.060059,2524.060059,3970700
6/9/2020,83.035004,86.402496,83.002502,85.997498,85.567009,147712400,2529.439941,2626.429932,2525,2600.860107,2600.860107,5176000
6/10/2020,86.974998,88.692497,86.522499,88.209999,87.76844,166651600,2645,2722.350098,2626.26001,2647.449951,2647.449951,4946000
6/11/2020,87.327499,87.764999,83.870003,83.974998,83.554642,201662400,2603.5,2671.379883,2536.22998,2557.959961,2557.959961,5800100
6/12/2020,86.18,86.949997,83.555,84.699997,84.276009,200146000,2601.209961,2621.47998,2503.350098,2545.02002,2545.02002,5436100
6/15/2020,83.3125,86.419998,83.144997,85.747498,85.31826,138808800,2526.600098,2584,2508,2572.679932,2572.679932,3865100
6/16/2020,87.864998,88.300003,86.18,88.019997,87.579391,165428800,2620,2620,2576,2615.27002,2615.27002,3585600
6/17/2020,88.787498,88.849998,87.772499,87.897499,87.457504,114406400,2647.5,2655,2631.820068,2640.97998,2640.97998,2959300
6/18/2020,87.852501,88.362503,87.305,87.932503,87.492332,96820400,2647.01001,2659.639893,2636.110107,2653.97998,2653.97998,2487800
6/19/2020,88.660004,89.139999,86.287498,87.43,86.992348,264476000,2678.080078,2697.429932,2659,2675.01001,2675.01001,5777000
6/22/2020,87.834999,89.864998,87.787498,89.717499,89.268394,135445200,2684.5,2715,2669,2713.820068,2713.820068,3208800
6/23/2020,91,93.095001,90.567497,91.6325,91.173805,212155600,2726.02002,2783.110107,2718.040039,2764.409912,2764.409912,4231700
6/24/2020,91.25,92.197502,89.629997,90.014999,89.564407,192623200,2780,2796,2721,2734.399902,2734.399902,4526600
6/25/2020,90.175003,91.25,89.392502,91.209999,90.753426,137522400,2739.550049,2756.22998,2712.139893,2754.580078,2754.580078,2968700
6/26/2020,91.102501,91.330002,88.254997,88.407501,87.964951,205256800,2775.060059,2782.570068,2688,2692.870117,2692.870117,6500800
